"","task","seed","min.val.R.R2s.1","min.val.R.R2s.2","end.R.R2s.1","end.R.R2s.2","max.R.R2s.1","max.R.R2s.2","min.val.R.R2s.3","end.R.R2s.3","max.R.R2s.3"
"result$R2790","PTEN",0,0.431891786227789,0.374206763597711,0.432837947256503,0.374363295312355,0.432837947256503,0.374363295312355,NA,NA,NA
"result$R2795","PTEN",1,0.325414821444696,0.341062909506951,0.325414821444696,0.341062909506951,0.328034681077176,0.34119438622448,NA,NA,NA
"result$R2767","PTEN",2,0.46103409662596,0.416303512365159,0.463133705371097,0.418465597371071,0.463596056889231,0.41832382577849,NA,NA,NA
"result$R2269","NUDT15",0,0.562142299870956,0.535283431369968,0.564735087606941,0.538302849709072,0.564735087606941,0.538302849709072,NA,NA,NA
"result$R2282","NUDT15",1,0.557366983912195,0.434158292199333,0.559262756124065,0.435895854198287,0.559262756124065,0.435895854198287,NA,NA,NA
"result$R2278","NUDT15",2,0.563900751380639,0.523549157995555,0.565640801785261,0.523073741544496,0.564946798541689,0.524060721813141,NA,NA,NA
"result$R21321","CCR5",0,0.410805559896574,0.465121179964904,0.410219626753986,0.465057470763915,0.410805559896574,0.465121179964904,0.407371465734183,0.407187366080452,0.407371465734183
"result$R21292","CCR5",1,0.395479399381881,0.464316506219825,0.395940065092626,0.465107451563011,0.395918707460956,0.465089079258997,0.419155534229485,0.420050346289552,0.420123675840672
"result$R21311","CCR5",2,0.391003632669922,0.429523441882238,0.391460055744917,0.430265463074563,0.391460055744917,0.430265463074563,0.406887996823709,0.407221858683405,0.407221858683405
"result$R21339","CXCR4",0,0.293521011391509,0.277829791000639,0.294017089778787,0.279601824998645,0.293876816535056,0.279583536154509,0.169550132643575,0.168897342353227,0.16974721250295
"result$R21332","CXCR4",1,0.267837728513071,0.27457085664968,0.267612664569222,0.275728858716994,0.267612664569222,0.275728858716994,0.187515553504571,0.187640050555629,0.187640050555629
"result$R21346","CXCR4",2,0.325010585418029,0.277658310046468,0.325010585418029,0.277658310046468,0.325010585418029,0.277658310046468,0.133145322320453,0.133145322320453,0.133145322320453
"result$R232","VKORC1",0,0.200691823592335,0.395339316643048,0.212623074238296,0.418028656904424,0.213585525832798,0.417556290347977,NA,NA,NA
"result$R218","VKORC1",1,0.191136194775749,0.280219650448748,0.330081532841014,0.484498504172571,0.329119081246511,0.48557313808849,NA,NA,NA
"result$R229","VKORC1",2,0.268279937611191,0.411021886317115,0.265296140847866,0.456439930719572,0.265296140847866,0.456439930719572,NA,NA,NA
